,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.33,48.15,76,79,12.12,NZ,1594687808
1,Qaanaaq,77.48,-69.36,43.77,67,2,7.2,GL,1594687809
2,Fairfield,41.27,-73.32,81.0,57,1,5.82,US,1594687811
3,Kapaa,22.08,-159.32,82.4,74,40,14.99,US,1594687812
4,Cao Bang,22.67,106.25,81.59,79,7,2.28,VN,1594687814
5,Mataura,-46.19,168.86,46.09,81,94,3.51,NZ,1594687815
6,Padang,-0.95,100.35,78.66,72,100,3.33,ID,1594687817
7,Martuni,40.14,45.3,57.2,73,86,2.75,AM,1594687818
8,Wanaka,-44.7,169.15,37.99,84,0,1.99,NZ,1594687820
9,Berlevåg,70.86,29.09,45.27,87,20,2.86,NO,1594687822
10,Yellowknife,62.46,-114.35,59.0,100,90,19.46,CA,1594687823
11,East London,-33.02,27.91,57.97,42,0,25.3,ZA,1594687826
12,Bethel,41.37,-73.41,77.0,57,1,5.82,US,1594687828
13,Busselton,-33.65,115.33,51.01,75,0,12.88,AU,1594687830
14,Saskylakh,71.92,114.08,68.77,52,22,13.89,RU,1594687832
15,Rikitea,-23.12,-134.97,73.08,85,100,12.68,PF,1594687833
16,George Town,5.41,100.34,80.6,94,20,1.12,MY,1594687836
17,Tolaga Bay,-38.37,178.3,54.37,89,100,4.41,NZ,1594687837
18,Yershov,51.35,48.28,79.66,33,1,12.84,RU,1594687838
19,Port Elizabeth,-33.92,25.57,53.6,54,60,9.17,ZA,1594687840
20,Yangi Marg`ilon,40.43,71.72,73.4,49,16,4.7,UZ,1594687842
21,Palmerston,-12.49,130.98,75.2,12,0,16.11,AU,1594687846
22,Vao,-22.67,167.48,72.95,75,100,14.99,NC,1594687848
23,Castro,-24.79,-50.01,60.19,92,0,4.92,BR,1594687849
24,Bell Ville,-32.63,-62.69,43.09,61,0,2.35,AR,1594687850
25,Provideniya,64.38,-173.3,50.0,81,100,11.18,RU,1594687852
26,Esperance,-33.87,121.9,51.8,57,90,25.28,AU,1594687853
27,Nikolskoye,59.7,30.79,52.0,87,0,6.71,RU,1594687856
28,Esim,4.87,-2.24,75.24,86,91,11.36,GH,1594687858
29,Barrow,71.29,-156.79,37.4,75,90,11.41,US,1594687564
30,Atuona,-9.8,-139.03,79.27,79,57,18.9,PF,1594687860
31,Ketchikan,55.34,-131.65,62.6,72,90,8.05,US,1594687862
32,Port Lincoln,-34.73,135.87,56.12,73,0,10.04,AU,1594687864
33,Marsá Maţrūḩ,31.35,27.25,71.6,83,0,7.58,EG,1594687866
34,Jamestown,42.1,-79.24,69.01,68,1,9.17,US,1594687824
35,Port Alfred,-33.59,26.89,55.35,46,3,26.02,ZA,1594687868
36,Bukachacha,52.98,116.92,76.33,55,61,3.8,RU,1594687871
37,Bredasdorp,-34.53,20.04,48.2,87,100,13.87,ZA,1594687872
38,Nago,26.59,127.98,87.8,79,1,12.75,JP,1594687874
39,Sola,-13.88,167.55,84.2,74,90,6.93,VU,1594687875
40,Flin Flon,54.77,-101.86,71.78,40,26,9.53,CA,1594687877
41,Hobart,-42.88,147.33,46.4,75,75,9.17,AU,1594687644
42,Cabo San Lucas,22.89,-109.91,91.4,66,5,11.41,MX,1594687850
43,Tessalit,20.2,1.01,91.58,12,0,3.44,ML,1594687881
44,Khatanga,71.97,102.5,70.61,46,57,13.38,RU,1594687882
45,Savannah Bight,16.45,-85.85,82.38,79,100,23.94,HN,1594687884
46,Carnarvon,-24.87,113.63,64.4,88,0,5.82,AU,1594687886
47,Dingle,11.0,122.67,83.48,77,97,0.76,PH,1594687887
48,Nouadhibou,20.93,-17.03,69.8,88,0,18.34,MR,1594687890
49,Hithadhoo,-0.6,73.08,84.52,74,100,8.21,MV,1594687893
50,Salina Cruz,16.17,-95.2,83.08,73,12,2.55,MX,1594687663
51,Cape Town,-33.93,18.42,50.0,71,40,2.24,ZA,1594687896
52,Dikson,73.51,80.55,39.29,98,100,14.38,RU,1594687897
53,Derzhavīnsk,51.1,66.32,67.37,61,0,8.61,KZ,1594687899
54,Río Gallegos,-51.62,-69.22,33.8,86,75,9.17,AR,1594687900
55,Lompoc,34.64,-120.46,64.99,68,5,12.75,US,1594687901
56,Klaksvík,62.23,-6.59,50.0,100,100,8.05,FO,1594687904
57,Luganville,-15.53,167.17,80.6,74,75,3.36,VU,1594687905
58,Rocha,-34.48,-54.33,37.87,73,0,10.11,UY,1594687907
59,Lavrentiya,65.58,-171.0,48.97,69,87,6.06,RU,1594687908
60,Tshikapa,-6.42,20.8,71.78,66,39,2.91,CD,1594687909
61,Oranjemund,-28.55,16.43,52.7,77,2,4.85,NA,1594687911
62,Paramirim,-13.44,-42.24,68.34,66,100,4.36,BR,1594687913
63,Lagoa,39.05,-27.98,68.81,82,29,11.5,PT,1594687914
64,Pevek,69.7,170.31,43.11,72,23,1.77,RU,1594687915
65,Qeshm,26.96,56.27,91.4,75,40,9.17,IR,1594687917
66,Nyurba,63.28,118.33,77.9,54,8,2.46,RU,1594687918
67,Punta Arenas,-53.15,-70.92,35.6,80,96,5.82,CL,1594687920
68,Hīt,33.64,42.83,86.97,16,0,11.9,IQ,1594687922
69,Taunggyi,20.78,97.03,63.95,100,100,3.11,MM,1594687924
70,Mahébourg,-20.41,57.7,69.8,88,40,9.17,MU,1594687926
71,Saint-Leu,-21.15,55.28,68.0,64,19,4.7,RE,1594687928
72,Ribeira Grande,38.52,-28.7,68.77,81,13,12.46,PT,1594687930
73,Paamiut,61.99,-49.67,42.57,87,0,5.44,GL,1594687933
74,Nishihara,26.18,127.76,87.8,66,40,12.75,JP,1594687934
75,Havøysund,71.0,24.66,44.6,93,0,9.17,NO,1594687936
76,Vila Velha,-20.33,-40.29,75.2,78,0,11.41,BR,1594687937
77,Hermanus,-34.42,19.23,48.99,79,100,13.0,ZA,1594687773
78,Fort Nelson,58.81,-122.7,73.4,40,75,13.87,CA,1594687940
79,Thompson,55.74,-97.86,64.4,93,75,2.62,CA,1594687902
80,Talnakh,69.49,88.4,53.6,93,75,2.24,RU,1594687943
81,Upernavik,72.79,-56.15,40.66,88,100,14.52,GL,1594687944
82,Amla,21.93,78.12,74.84,91,100,6.26,IN,1594687946
83,Clyde River,70.47,-68.59,55.4,54,1,6.93,CA,1594687948
84,Verín,41.94,-7.44,61.0,30,100,3.49,ES,1594687950
85,Solnechnyy,50.72,136.63,73.44,61,26,5.97,RU,1594687952
86,Tarakan,3.3,117.63,79.92,84,100,4.85,ID,1594687752
87,Norman Wells,65.28,-126.83,71.6,46,75,2.24,CA,1594687955
88,Albany,42.6,-73.97,81.0,57,3,1.01,US,1594687699
89,San Miguel,13.48,-88.18,87.8,66,8,2.26,SV,1594687958
90,Butaritari,3.07,172.79,80.78,74,89,1.99,KI,1594687960
91,Seoul,37.57,126.98,68.0,77,90,9.06,KR,1594687961
92,Sompeta,18.93,84.6,83.28,78,98,9.19,IN,1594687963
93,Salé,34.04,-6.82,73.4,88,75,6.93,MA,1594687966
94,Karpogory,64.0,44.45,54.91,94,100,10.31,RU,1594687968
95,Carballo,43.21,-8.69,60.8,87,55,4.7,ES,1594687969
96,George,-33.96,22.46,48.2,66,80,25.28,ZA,1594687771
97,Bac Lieu,9.29,105.72,82.31,82,92,7.96,VN,1594687972
98,Inhambane,-23.86,35.38,61.14,73,0,11.12,MZ,1594687974
99,Sitka,57.05,-135.33,55.4,82,90,12.75,US,1594687856
100,Bintulu,3.17,113.03,77.0,94,40,5.73,MY,1594687976
101,Ushuaia,-54.8,-68.3,33.8,80,40,19.46,AR,1594687978
102,Porto Santo,33.07,-16.34,69.8,73,75,14.99,PT,1594687979
103,Avarua,-21.21,-159.78,71.6,56,99,8.05,CK,1594687981
104,Hinton,53.4,-117.59,62.89,38,97,10.74,CA,1594687982
105,Bubaque,11.28,-15.83,80.44,85,100,16.22,GW,1594687984
106,Vaini,-21.2,-175.2,75.2,69,40,11.41,TO,1594687986
107,Talcahuano,-36.72,-73.12,48.2,81,3,8.05,CL,1594687988
108,Farmington,36.73,-108.22,88.0,22,75,20.8,US,1594687921
109,Otradnoye,59.78,30.82,52.0,87,0,6.71,RU,1594687991
110,Naze,28.37,129.48,86.0,79,75,10.29,JP,1594687992
111,Gladstone,-23.85,151.25,62.6,33,0,6.93,AU,1594687994
112,Saint-Philippe,-21.36,55.77,68.0,64,50,4.7,RE,1594687995
113,Puerto Ayora,-0.74,-90.35,68.0,93,26,7.78,EC,1594687996
114,Beringovskiy,63.05,179.32,52.43,85,97,4.76,RU,1594687998
115,San Quintín,30.48,-115.95,74.52,63,0,12.44,MX,1594688000
116,Iqaluit,63.75,-68.51,62.6,39,20,13.87,CA,1594688001
117,Mount Isa,-20.73,139.5,60.8,29,56,17.22,AU,1594688003
118,Catió,11.28,-15.25,77.61,89,100,7.7,GW,1594688004
119,Pampa,35.54,-100.96,104.0,21,1,27.51,US,1594688005
120,Tuatapere,-46.13,167.68,47.88,73,55,3.76,NZ,1594688008
121,Saint Paul Harbor,57.79,-152.41,57.2,71,90,10.29,US,1594687912
122,Ostrovnoy,68.05,39.51,45.46,85,91,3.8,RU,1594688010
123,Dzhebariki-Khaya,62.22,135.8,79.14,58,36,4.52,RU,1594688012
124,Chokurdakh,70.63,147.92,66.72,33,22,13.85,RU,1594688013
125,Pisco,-13.7,-76.22,60.01,93,90,4.7,PE,1594688014
126,Acaraú,-2.89,-40.12,76.64,74,15,11.83,BR,1594688016
127,San Rafael,-34.62,-68.33,41.05,68,37,4.14,AR,1594687891
128,Moree,-29.47,149.85,48.2,81,90,16.11,AU,1594688018
129,Cayenne,4.93,-52.33,78.8,94,5,7.2,GF,1594687735
130,Hilo,19.73,-155.09,82.4,61,20,12.75,US,1594688021
131,Ixtapa,20.7,-105.2,86.0,70,75,10.29,MX,1594688022
132,Visby,57.64,18.3,50.0,100,86,2.24,SE,1594688023
133,Tasiilaq,65.61,-37.64,42.8,81,76,3.36,GL,1594688024
134,Laas,46.62,10.7,55.0,100,90,8.05,IT,1594688026
135,Merritt Island,28.54,-80.67,89.6,62,40,4.7,US,1594687928
136,Luau,-10.71,22.22,59.04,47,100,4.83,AO,1594688028
137,Danville,36.59,-79.39,82.0,74,20,0.67,US,1594688029
138,Cap-aux-Meules,47.38,-61.86,64.4,88,75,10.29,CA,1594688030
139,Shingū,33.73,135.98,77.0,100,75,10.29,JP,1594688032
140,Verkhotur'ye,58.86,60.81,61.59,74,0,3.33,RU,1594688033
141,Umm Kaddadah,13.6,26.69,84.97,49,0,16.93,SD,1594688035
142,Imeni Poliny Osipenko,52.42,136.49,73.87,65,2,2.19,RU,1594688038
143,Coyhaique,-45.58,-72.07,32.0,95,20,3.36,CL,1594688039
144,Singaraja,-8.11,115.09,82.24,66,0,2.21,ID,1594688040
145,Cherskiy,68.75,161.3,65.7,51,79,3.06,RU,1594688041
146,Kiunga,-6.12,141.29,79.77,83,95,3.8,PG,1594688044
147,Isangel,-19.55,169.27,80.6,61,75,6.93,VU,1594688045
148,Grand-Santi,4.25,-54.38,72.55,89,0,1.28,GF,1594688047
149,Constitución,-35.33,-72.42,52.75,77,100,6.2,CL,1594688048
150,Montepuez,-13.13,39.0,63.68,87,100,7.49,MZ,1594688049
151,Kavieng,-2.57,150.8,83.03,74,100,8.93,PG,1594688050
152,Muaná,-1.53,-49.22,75.43,91,1,5.23,BR,1594688052
153,Akdepe,42.06,59.38,75.2,44,0,6.93,TM,1594688053
154,Tsumeb,-19.23,17.72,44.94,55,0,2.39,NA,1594688054
155,Senneterre,48.38,-77.23,69.8,68,40,9.17,CA,1594688055
156,Severo-Kuril'sk,50.68,156.12,50.67,85,100,2.59,RU,1594688057
157,Klyuchi,52.27,79.17,63.39,82,100,7.11,RU,1594688059
158,Peniche,39.36,-9.38,66.99,87,0,5.01,PT,1594688060
159,Yerbogachën,61.28,108.01,69.96,62,100,3.0,RU,1594688062
160,Hofn,64.25,-15.21,50.76,82,100,3.6,IS,1594688063
161,Yangambi,0.81,24.43,71.17,95,99,2.19,CD,1594688064
162,New Norfolk,-42.78,147.06,45.0,91,13,1.48,AU,1594688065
163,Piaçabuçu,-10.41,-36.43,74.32,87,5,6.33,BR,1594688067
164,Swan Hill,-35.34,143.55,54.91,68,0,9.46,AU,1594688069
165,Torbay,47.67,-52.73,69.8,94,75,12.75,CA,1594687900
166,Saldanha,-33.01,17.94,50.0,81,12,14.99,ZA,1594688071
167,Boende,-0.22,20.87,71.04,94,100,1.77,CD,1594688073
168,Sur,22.57,59.53,83.44,70,0,9.06,OM,1594688074
169,Chui,-33.7,-53.46,38.1,75,0,9.73,UY,1594687869
170,Airai,-8.93,125.41,65.43,62,66,5.59,TL,1594688076
171,Coahuayana Viejo,18.73,-103.68,80.6,74,40,2.98,MX,1594688078
172,San Francisco,37.77,-122.42,68.0,59,20,18.34,US,1594687943
173,São João da Barra,-21.64,-41.05,72.45,80,0,6.85,BR,1594688080
174,Ambilobe,-13.2,49.05,64.65,80,64,3.02,MG,1594688081
175,Tiarei,-17.53,-149.33,80.6,78,75,14.99,PF,1594688083
176,Faya,18.39,42.45,71.6,52,6,6.35,SA,1594688084
177,La Ronge,55.1,-105.28,64.4,59,75,11.41,CA,1594688085
178,Sainte-Agathe-des-Monts,46.05,-74.28,70.0,83,75,3.36,CA,1594687892
179,Geraldton,-28.77,114.6,59.0,93,75,13.87,AU,1594687891
180,Buchanan,5.88,-10.05,75.33,89,100,12.1,LR,1594688089
181,Abu Samrah,35.3,37.18,70.41,77,0,8.68,SY,1594688090
182,Lüderitz,-26.65,15.16,55.4,66,0,16.11,NA,1594688091
183,Westport,41.14,-73.36,84.2,39,1,11.41,US,1594687923
184,Ola,59.58,151.28,61.63,69,100,7.49,RU,1594688094
185,Yabēlo,4.88,38.08,60.15,69,100,8.21,ET,1594688095
186,Obo,5.4,26.49,66.15,97,99,3.18,CF,1594688096
187,Port Antonio,18.18,-76.46,87.8,62,20,19.46,JM,1594688097
188,Kaitangata,-46.28,169.85,48.99,71,38,8.99,NZ,1594688099
189,Bantogon,6.53,124.03,81.61,74,77,6.82,PH,1594688100
190,Hamilton,39.18,-84.53,81.0,60,0,1.01,US,1594687840
191,Dobryanka,58.46,56.42,66.2,93,0,8.95,RU,1594688102
192,Kysyl-Syr,63.9,122.76,78.13,40,0,5.26,RU,1594688103
193,Asău,46.43,26.4,50.0,87,35,3.49,RO,1594688105
194,Loíza,18.43,-65.88,84.2,83,75,10.29,PR,1594688107
195,Tibacuy,4.35,-72.46,75.78,88,91,2.46,CO,1594688108
196,Arraial do Cabo,-22.97,-42.03,73.38,70,4,3.6,BR,1594687822
